1.0071	2	-0.025	-0.025	-0
1.0143	3	0.05	-0	-0
1.0214	4	0.05	-0	-0
1.0286	5	0.05	-0	-0
1.0357	6	0.05	-0	-0
1.0429	1	-0	-0	-0
1.05	2	-0.025	-0.025	-0
1.0571	3	0.05	-0	-0
1.0643	4	0.05	-0	-0
1.0714	5	0.05	-0	-0
1.0786	6	0.05	-0	-0
1.0857	1	-0	-0	-0
1.0929	2	-0.025	-0.025	-0
1.1	3	0.05	-0	-0
1.1071	4	0.05	-0	-0
1.1143	5	0.05	-0	-0
1.1214	6	0.05	-0	-0
1.1286	1	-0	-0	-0
1.1357	2	-0.025	-0.025	-0
1.1429	3	0.05	-0	-0
1.15	4	0.05	-0	-0
1.1571	5	0.05	-0	-0
1.1643	6	0.05	-0	-0
1.1714	1	-0	-0	-0
1.1786	2	-0.025	-0.025	-0
1.1857	3	0.05	-0	-0
1.1929	4	0.05	-0	-0
1.2	5	0.05	-0	-0
1.2071	6	0.05	-0	-0
1.2143	1	-0	-0	-0
1.2214	2	-0.025	-0.025	-0
1.2286	3	0.05	-0	-0
1.2357	4	0.05	-0	-0
1.2429	5	0.05	-0	-0
1.25	6	0.05	-0	-0
1.2571	1	-0	-0	-0
1.2643	2	-0.025	-0.025	-0
1.2714	3	0.05	-0	-0
1.2786	4	0.05	-0	-0
1.2857	5	0.05	-0	-0
1.2929	6	0.05	-0	-0
1.3	1	-0	-0	-0
1.3071	2	-0.025	-0.025	-0
1.3143	3	0.05	-0	-0
1.3214	4	0.05	-0	-0
1.3286	5	0.05	-0	-0
1.3357	6	0.05	-0	-0
1.3429	1	-0	-0	-0
1.35	2	-0.025	-0.025	-0
1.3571	3	0.05	-0	-0
1.3643	4	0.05	-0	-0
1.3714	5	0.05	-0	-0
1.3786	6	0.05	-0	-0
1.3857	1	-0	-0	-0
1.3929	2	-0.025	-0.025	-0
1.4	3	0.05	-0	-0
1.4071	4	0.05	-0	-0
1.4143	5	0.05	-0	-0
1.4214	6	0.05	-0	-0
1.4286	1	-0	-0	-0
1.4357	2	-0.025	-0.025	-0
1.4429	3	0.05	-0	-0
1.45	4	0.05	-0	-0
1.4571	5	0.05	-0	-0
1.4643	6	0.05	-0	-0
1.4714	1	-0	-0	-0
1.4786	2	-0.025	-0.025	-0
1.4857	3	0.05	-0	-0
1.4929	4	0.05	-0	-0
1.5	5	0.05	-0	-0
1.5071	6	0.05	-0	-0
1.5143	1	-0	-0	-0
1.5214	2	-0.025	-0.025	-0
1.5286	3	0.05	-0	-0
1.5357	4	0.05	-0	-0
1.5429	5	0.05	-0	-0
1.55	6	0.05	-0	-0
1.5571	1	-0	-0	-0
1.5643	2	-0.025	-0.025	-0
1.5714	3	0.05	-0	-0
1.5786	4	0.05	-0	-0
1.5857	5	0.05	-0	-0
1.5929	6	0.05	-0	-0
1.6	1	-0	-0	-0
1.6071	2	-0.025	-0.025	-0
1.6143	3	0.05	-0	-0
1.6214	4	0.05	-0	-0
1.6286	5	0.05	-0	-0
1.6357	6	0.05	-0	-0
1.6429	1	-0	-0	-0
1.65	2	-0.025	-0.025	-0
1.6571	3	0.05	-0	-0
1.6643	4	0.05	-0	-0
1.6714	5	0.05	-0	-0
1.6786	6	0.05	-0	-0
1.6857	1	-0	-0	-0
1.6929	2	-0.025	-0.025	-0
1.7	3	0.05	-0	-0
1.7071	4	0.05	-0	-0
1.7143	5	0.05	-0	-0
1.7214	6	0.05	-0	-0
1.7286	1	-0	-0	-0
1.7357	2	-0.025	-0.025	-0
1.7429	3	0.05	-0	-0
1.75	4	0.05	-0	-0
1.7571	5	0.05	-0	-0
1.7643	6	0.05	-0	-0
1.7714	1	-0	-0	-0
1.7786	2	-0.025	-0.025	-0
1.7857	3	0.05	-0	-0
1.7929	4	0.05	-0	-0
1.8	5	0.05	-0	-0
1.8071	6	0.05	-0	-0
1.8143	1	-0	-0	-0
1.8214	2	-0.025	-0.025	-0
1.8286	3	0.05	-0	-0
1.8357	4	0.05	-0	-0
1.8429	5	0.05	-0	-0
1.85	6	0.05	-0	-0
1.8571	1	-0	-0	-0
1.8643	2	-0.025	-0.025	-0
1.8714	3	0.05	-0	-0
1.8786	4	0.05	-0	-0
1.8857	5	0.05	-0	-0
1.8929	6	0.05	-0	-0
1.9	1	-0	-0	-0
1.9071	2	-0.025	-0.025	-0
1.9143	3	0.05	-0	-0
1.9214	4	0.05	-0	-0
1.9286	5	0.05	-0	-0
1.9357	6	0.05	-0	-0
1.9429	1	-0	-0	-0
1.95	2	-0.025	-0.025	-0
1.9571	3	0.05	-0	-0
1.9643	4	0.05	-0	-0
1.9714	5	0.05	-0	-0
1.9786	6	0.05	-0	-0
1.9857	1	-0	-0	-0
1.9929	2	-0.025	-0.025	-0
2	3	0.05	-0	-0
2.0071	4	0.05	-0	-0
2.0143	5	0.05	-0	-0
2.0214	6	0.05	-0	-0
2.0286	1	-0	-0	-0
2.0357	2	-0.025	-0.025	-0
2.0429	3	0.05	-0	-0
2.05	4	0.05	-0	-0
2.0571	5	0.05	-0	-0
2.0643	6	0.05	-0	-0
2.0714	1	-0	-0	-0
2.0786	2	-0.025	-0.025	-0
2.0857	3	0.05	-0	-0
2.0929	4	0.05	-0	-0
2.1	5	0.05	-0	-0
2.1071	6	0.05	-0	-0
2.1143	1	-0	-0	-0
2.1214	2	-0.025	-0.025	-0
2.1286	3	0.05	-0	-0
2.1357	4	0.05	-0	-0
2.1429	5	0.05	-0	-0
2.15	6	0.05	-0	-0
2.1571	1	-0	-0	-0
2.1643	2	-0.025	-0.025	-0
2.1714	3	0.05	-0	-0
2.1786	4	0.05	-0	-0
2.1857	5	0.05	-0	-0
2.1929	6	0.05	-0	-0
2.2	1	-0	-0	-0
2.2071	2	-0.025	-0.025	-0
2.2143	3	0.05	-0	-0
2.2214	4	0.05	-0	-0
2.2286	5	0.05	-0	-0
2.2357	6	0.05	-0	-0
2.2429	1	-0	-0	-0
2.25	2	-0.025	-0.025	-0
2.2571	3	0.05	-0	-0
2.2643	4	0.05	-0	-0
2.2714	5	0.05	-0	-0
2.2786	6	0.05	-0	-0
2.2857	1	-0	-0	-0
2.2929	2	-0.025	-0.025	-0
2.3	3	0.05	-0	-0
2.3071	4	0.05	-0	-0
2.3143	5	0.05	-0	-0
2.3214	6	0.05	-0	-0
2.3286	1	-0	-0	-0
2.3357	2	-0.025	-0.025	-0
2.3429	3	0.05	-0	-0
2.35	4	0.05	-0	-0
2.3571	5	0.05	-0	-0
2.3643	6	0.05	-0	-0
2.3714	1	-0	-0	-0
2.3786	2	-0.025	-0.025	-0
2.3857	3	0.05	-0	-0
2.3929	4	0.05	-0	-0
2.4	5	0.05	-0	-0
2.4071	6	0.05	-0	-0
2.4143	1	-0	-0	-0
