0  -172	0	-25	-18	-158	-4
318688	1276	-3644	-4041	4382	2237	-7396
319200	2364	-648	1379	-1329	4474	7648
319744	2112	-7056	-4633	361	-536	-9953
320256	-2628	-6368	-7249	-6228	9704	-5363
320768	-760	-4100	-5633	-1607	10960	6941
321312	-2156	-7916	-6713	917	-3475	2827
321824	3680	-756	-6949	-4277	7013	17748
322336	-308	-10704	-6357	598	-5677	-28909
322880	-1392	-16264	-205	27407	-17332	-835
323392	-1368	-11704	2831	-22076	2854	22474
323904	-5096	-11376	-5929	1969	-267	-14156
324416	124	-4224	-505	-11758	6932	-6970
324960	2232	-7632	-4973	-10704	-495	15970
325472	-208	-10780	-4313	8911	-781	-7145
325984	632	-7692	-3161	-4011	1029	4083
326528	1176	-3260	-4661	1172	-7200	25399
327040	2172	-6384	-3065	-491	-1421	3524
327552	1592	-4572	-1653	1020	-1322	-2313
328096	-552	-5240	-4613	4275	-1059	-559
328608	1680	-5800	-3117	2932	-1897	4226
329120	1432	-4264	-1961	6211	-6268	11735
329664	-300	-5748	-3117	5025	-3173	3264
330176	2540	-2548	-3557	3841	-2235	14826
330688	-692	-6108	-3765	-761	6832	-4454
331200	1108	-4896	-1329	-752	-5633	28
331744	2968	-5184	-173	596	2390	-16896
332256	-244	-8796	-3529	6933	245	-12780
332768	-1632	-7868	-1025	1104	-829	7205
333312	-2764	-7044	1455	4121	17874	27902
333824	1020	-4720	-3301	701	-11025	-12255
334336	-2760	-4736	-1721	-7592	14717	-6939
334880	-4420	-10280	247	-10825	-8947	-19454
335392	-1828	-5460	63	2220	-8297	10888
335904	2056	-6940	-8093	32598	26892	-5680
336448	500	-6280	-1357	-4162	-2443	-1059
336960	1548	-5988	-1097	-34	2611	-520
337472	2056	-7832	-3805	3680	-1747	-5349
338016	2104	-6956	-6181	2772	-13525	-7363
338528	1908	-1472	-6949	9502	3624	-10383
339040	616	-7748	-3897	2140	2851	-5375
339552	968	-6892	-873	-2026	-4363	-3211
340096	1868	16	-5153	2454	2068	2190
340608	200	-5960	-4841	-6563	-7309	-5901
341120	436	-5288	-3421	-2344	2090	382
341664	812	-6640	-3337	-9644	14529	-6794
342176	1208	-5380	-3009	-961	-232	-600
342688	92	-6904	-3733	-877	73	912
343232	108	-8064	-4437	-2673	5226	-2426
343744	2780	-9200	-1737	-2748	-301	-2909
344256	3344	-7852	-8493	6771	-2137	-2417
344768	3336	-7432	-6445	4546	-2476	1468
345312	3160	-7364	-8105	-2379	896	-288
345824	3224	-7640	-7197	3337	-2371	622
346336	3232	-8016	-7641	-3636	1489	-2072
346880	3588	-7564	-7189	2237	-663	360
347392	3492	-7416	-7245	-3749	1762	-1181
347904	3748	-7468	-7705	-2526	2795	-315
348448	3584	-7640	-7417	-793	-141	-39
348960	3432	-7632	-7885	215	315	489
349472	3164	-7664	-7677	1423	-637	-115
349984	3468	-7732	-7701	15	7	-42
350528	3372	-7556	-6197	-1183	647	-801
351040	3588	-7696	-7049	4952	-2923	535
351552	3460	-7516	-7093	3368	-2549	633
352096	3428	-7356	-6805	33	-449	109
352608	3164	-7676	-7213	-6049	2699	346
353120	3224	-9188	-10513	13978	-10175	3357
353664	2900	-9760	-5957	586	5423	623
354176	4096	-7800	-3289	-541	504	-370
354688	3292	-8364	-6109	-4154	5016	759
355200	3688	-7268	-3445	-219	-1946	1777
355744	2972	-9128	-5521	-156	2984	-431
356256	2704	-6696	-3513	738	-352	535
356768	2152	-7428	-4997	-1636	1913	-113
357312	2112	-7172	-5041	261	-173	5
357824	2492	-7728	-4817	1867	-350	-761
358336	2460	-7068	-5477	-996	-1643	157
358880	1804	-8868	-6973	1884	3020	-3258
359392	-52	-9596	-4085	-4082	11362	11273
359904	-656	-7232	-4533	1351	-1614	-40
360416	-1228	-6560	-3709	-1074	4808	8010
360960	324	-6580	-6133	782	-4704	2065
361472	-1176	-8776	-5033	-1772	-2511	-4662
361984	1428	-7476	-5705	-891	-1562	3143
362528	1464	-6412	-5789	324	-460	7079
363040	484	-10144	-4353	1447	-1735	8865
363552	-440	-7692	-6921	1236	4184	1294
364096	2084	-14556	-4813	-1484	6021	-886
364608	572	-7744	-3933	3383	1411	2265
365120	-1644	-7828	-4685	2369	10823	4358
365664	188	-6704	-9093	-1770	1258	12410
366176	-1084	-6940	-5881	4832	-7447	-729
366688	156	-8348	-5709	-53	633	-1447
367200	764	-7692	-5317	-92	988	-481
367744	148	-5332	-6301	-4694	8021	8562
368256	-644	-6400	-5129	2296	-4077	-3214
368768	1412	-7236	-4509	2424	-1209	1003
369312	776	-7168	-4913	-1357	1268	135
369824	452	-6588	-3517	675	-760	-292
370336	2064	-1604	-4057	-7074	-1435	-8847
370880	-1316	-4800	-2433	-5670	-387	1609
371392	1456	-6856	-3093	3589	237	-3683
371904	-132	-5340	-4553	-6119	4	-4193
372416	-1792	-7992	-5409	-1025	5351	-5865
372960	-1156	-2708	-7249	18014	-25187	32529
373472	-2320	-14920	-689	-2541	-1993	1080
373984	1392	-3712	-3733	-1158	-5325	-436
374528	1344	-6360	-4461	2357	-2100	1964
375040	888	-5824	-5121	3205	-6461	4211
375552	2128	-5008	-5573	5123	-1125	7942
376096	1064	-7132	-4849	-682	-994	4118
376608	1228	-7260	-5541	-2735	2270	1604
377120	1092	-7484	-4281	-223	641	152
377664	944	-7208	-5553	-1859	1141	-2018
378176	976	-4032	-2137	26564	-8398	6386
378688	436	-6344	-2229	-23043	4835	-10037
379200	1516	-6076	-2001	27303	-4829	3232
379744	-1120	-3724	-4497	-10455	233	-1300
380256	148	-6684	-1761	-9253	1764	-9832
380768	-76	-8192	-4081	13369	-20295	15186
381312	1568	-4232	603	1724	12178	-20161
381824	4028	-268	-3041	17625	7390	-8184
382336	2872	-6452	-7121	11315	16837	335
382880	444	-9112	3251	9493	-5160	-3793
383392	-1364	-5400	-1885	-70	5043	3123
383904	-1060	-5924	-4469	-5571	-4213	-4085
384448	-212	-6608	-4449	464	188	130
384960	-712	-8352	-3873	-452	1139	-408
385472	416	-7652	7655	8648	-13140	-15328
385984	1584	-6044	-1785	-2192	3658	-238
386528	876	-4856	-2441	-812	1469	-924
387040	848	-6428	-1837	-732	840	-271
387552	-700	-3600	-3377	-8797	1981	538
388096	1788	-4784	-5805	1059	-5532	2047
388608	2748	-7488	-3961	22147	13415	-11431
389120	1644	-7548	107	-3397	-7288	-4013
389664	2656	-4552	-2873	-1329	2740	1379
390176	1812	-5156	-3017	-1065	1772	162
390688	1600	-2708	-2853	-9152	8782	-7068
391232	2644	-11488	-6781	-438	2760	517
391744	4536	-4340	-6465	2735	2009	-2985
392256	4296	-5872	-4749	676	-1086	1140
392768	4256	-5600	-3677	-1775	2814	-1192
393312	4352	-6500	-4029	-2027	-1030	3267
393824	-20	-8444	-3473	-1734	7647	-4964
394336	940	-6848	-3893	2065	-1173	993
394880	944	-6428	-4453	236	-765	-276
395392	964	-6952	-3697	-860	461	-504
395904	760	-7356	-3873	455	-80	384
396448	912	-7016	-4049	-12	-179	31
396960	4160	-180	-2217	207	-4592	-2935
397472	1096	-6940	-4281	-262	535	-1721
397984	976	-6832	-3977	844	-448	260
398528	832	-7224	-4037	473	13	323
399040	928	-6856	-4189	264	-62	-46
399552	912	-6952	-4093	-196	117	-21
400096	920	-7316	-4089	3	132	4
