0  -172	0	-25	-18	-158	-4
79200	212	76	43	4	-110	-73
79712	196	-52	139	-30	10	258
80224	304	144	3	31	315	1
80736	-12	-284	-465	-24	-862	-421
81280	188	-324	39	-55	45	108
81792	412	1908	299	-57	-1092	-1039
82304	-976	-2876	-657	-8643	1772	129
82816	-556	-1700	-381	5102	-390	-692
83360	404	-64	327	-13	332	602
83872	164	20	139	21	-245	106
84384	412	16	-1817	-87	-2350	143
84928	420	-8	327	-34	-468	14
85440	456	64	35	-2	117	258
85952	304	-136	199	52	922	-406
86464	212	60	-781	-10	-356	115
87008	-76	-528	23	-2209	667	139
87520	52	-156	339	1122	97	423
88032	-28	-220	519	376	-447	45
88544	468	-956	-869	5039	-6487	905
89088	184	-480	99	925	-316	-72
89600	-120	48	-429	-795	1455	400
90112	-76	-624	215	37	601	64
90624	32	-628	191	-2094	75	85
91168	108	-636	119	-5	-142	-93
91680	-76	-380	-165	86	-521	-724
92192	64	-404	-113	-579	100	107
92704	156	-236	47	937	-171	-134
93248	-24	152	919	-155	98	101
93760	460	-8	123	-13	-413	-17
94272	356	-104	939	-30	651	13
94816	264	-528	-3573	-377	-11329	1131
95328	-88	-148	-3429	477	-6443	-1105
95840	28	-292	-1573	3603	-2112	290
96352	-316	776	3211	134	4882	-371
96896	508	160	-73	608	-1115	-327
97408	-1608	-5152	12039	70	-6164	1560
97920	408	32	319	36	-489	35
98432	-160	-200	-681	32	-98	-602
98976	340	-116	19	65	662	161
99488	372	80	-61	-29	-255	-27
100000	-812	-1700	-697	352	68	867
100544	192	160	203	55	-415	183
101056	116	288	371	-36	-462	82
101568	512	1340	195	237	-508	-152
102080	376	-408	-529	-57	871	-710
102624	500	328	-153	558	532	60
103136	76	236	-901	-10	-1233	201
103648	-188	1488	1883	537	914	7196
104192	576	-2480	-9973	4311	-32516	-17190
104704	3756	-7324	-12525	6100	-195	-16867
105216	8012	3196	-8149	10719	-8686	10929
105728	5456	-1872	-4333	-640	23608	-20808
106272	3564	3844	-4129	1633	10370	22435
106784	4468	3224	-6121	8446	11183	-21433
107296	8588	-4996	-5189	-12528	8772	2416
107840	3728	-4084	-3089	-15833	15216	16713
108352	6740	-5180	-13501	-5603	13395	-15070
108864	4928	-2812	-4093	5064	-13700	-9457
109408	7816	-1860	-7701	-4626	2530	-547
109920	5648	-5812	-9041	2887	30933	9377
110432	4852	-4980	-4417	-11631	2169	2579
110976	4464	-5528	-2665	3791	-2101	-1940
111488	4560	-8732	-4517	-3740	2804	-5172
112000	1484	644	2979	4202	-16005	5763
112544	1292	-11252	-9473	623	-12905	3990
113056	3316	-6932	-4489	-2765	3071	-872
113568	5340	1056	-6689	18123	-11953	-14300
114080	4596	1728	-12709	32598	29429	32553
114624	6320	-6572	-5381	4331	9107	-19068
115136	1948	-10672	-10593	10402	3082	-8943
115648	-5144	-704	-5565	2297	13444	27930
116192	-9136	-472	-4689	-3942	1733	11981
116704	-9708	96	-5465	-2711	24731	-1540
117216	-7308	-1320	-7749	5425	4412	3474
117760	-7968	-48	-8417	-22	4244	-613
118272	-7792	528	-8661	-592	-298	263
118784	-7556	1100	-8157	1359	926	-812
119328	-7832	568	-8541	-193	1708	-563
119840	-8328	700	-9201	62	5307	-257
120352	-8064	-112	-9317	-9281	8412	1529
120864	-6756	-1052	-5797	803	5113	-97
121408	-7332	268	-5857	-565	1528	-607
121920	-6740	-196	-5377	-142	3011	310
122432	-6624	660	-7369	-4242	2482	4732
122976	-8628	1540	-8237	98	-24033	17510
123488	-9940	-292	-5077	6909	-31125	9269
124000	-7932	1000	-8197	-4049	12653	-4341
124544	-4820	-3048	-7749	-1911	2937	1499
125056	-7244	-2508	-8409	3721	-18178	16527
125568	-8616	-2064	-9653	5425	-25589	23093
126112	-9000	-1676	-9709	6917	-28150	24773
126624	-8884	-2080	-10353	4012	-26232	26679
127136	-9924	-3568	-9617	-6040	-9188	6645
127648	-6552	-2932	-4897	16474	6606	4150
128192	-7848	-3716	-7025	-9291	-9804	1562
128704	-7044	-1888	-6009	32	813	756
129216	-7140	-1644	-5069	-433	-244	431
129760	-7276	-1840	-5157	-37	-72	-63
130272	-7292	-1644	-5501	-399	150	263
130784	-9936	852	-4417	3016	17752	-18307
