0  364	-127	82	367	148	-34
16128	6248	-5667	-10794	20766	7015	8769
16256	-88	1121	-1058	5530	30437	9072
16384	-444	-11991	938	5318	24849	-5340
16480	-1860	545	-1654	-2522	-32445	-17343
16608	-1340	9	9766	10492	-9932	-8200
16736	-352	-3383	-4190	4819	431	-7625
16832	-576	-2299	-70	4254	-1028	-5402
16960	300	-1771	146	14754	-7972	-23
17088	956	93	1650	9600	-8817	-13
17216	860	2137	662	-5102	-26630	-1723
17312	4200	3021	-9090	1911	-10662	2980
17440	4140	-883	-5250	9546	-9162	3531
17568	8352	1701	-6698	1474	-14181	1920
17664	9092	2069	-9970	1707	-22924	5185
17792	8792	-1927	-10518	10635	-10896	-4537
17920	7948	145	-13474	6921	5032	-3699
18016	6636	-2087	-16062	-13567	25739	4204
18144	4908	-4511	-12798	2359	-32445	-11608
18272	2756	7425	-5842	5275	-18172	8120
18400	2600	1777	-1134	-687	-3566	3390
18496	932	-2463	-10042	36	9361	2347
18624	-620	-3719	-466	-716	20550	-4028
18752	-3056	389	6782	-7967	10350	-4068
18848	-4132	-439	230	-6855	9008	-2406
18976	-5388	-2771	-1902	1975	9825	-4972
19104	-5328	-1159	-1198	3953	3051	-5312
19200	-4484	-1103	-3182	2842	-1246	2459
19328	-4856	-7107	-2650	-2665	-16494	2476
19456	-3140	449	2650	-4049	-20350	-6174
19552	-676	41	-1946	422	-11119	3383
19680	188	-6631	-1562	-5831	-7291	-10963
19808	-440	-5383	-1222	1270	2576	32570
19904	232	-487	526	1374	11028	-27049
20032	1240	-1427	-2078	8766	9679	-13122
20160	688	-267	-454	11022	9626	-5302
20288	416	5113	2742	-4483	-11216	17028
20384	260	-1175	-942	-7658	-200	29178
20512	-396	-3663	1982	-12248	212	27873
20640	-2052	-2443	622	-7576	-12782	28551
20736	-1124	-5167	-1974	1638	-4535	14673
20864	-612	-1595	-2618	-1176	-187	9510
20992	-224	-2823	-3918	969	2964	2838
21088	-488	-6479	-2530	1792	1608	-6241
21216	520	-2791	-2866	5940	4177	-13132
21344	1136	-139	-94	3709	-4259	-13167
21440	2252	6149	-362	-456	-3806	845
21568	2752	-631	-1550	3785	-2021	7321
21696	1120	313	-2970	1882	6909	2481
21824	968	-1191	1070	3863	4056	3019
21920	1440	-3303	3210	2236	-1781	127
22048	2016	-507	-806	3451	2449	905
22176	1344	121	-1262	9604	23636	-243
22272	1364	433	766	-281	-1222	224
22400	1324	-2531	-34	915	-1448	-2741
22528	1532	369	230	-95	326	-155
22624	1372	529	370	28	-1479	-50
22752	1540	1549	-334	-30	-9	176
22880	1532	541	62	-174	896	83
22976	1364	513	-298	-1619	453	134
23104	1576	49	-682	127	1121	-427
23232	1296	-51	1530	-428	1707	-69
23328	1324	1369	422	-1797	1150	523
23456	1392	249	-166	-1152	-943	-11
23584	1108	653	50	-2714	23	377
23680	1196	65	386	-732	-603	-834
23808	1032	-71	-3138	-3462	-3412	1190
23936	1004	-423	530	-695	683	182
24032	448	225	230	-1258	8504	1427
24160	264	-3	434	-584	756	653
24288	364	-163	-522	-1546	2027	-243
24384	220	-1463	-1950	-257	2764	-333
24512	176	-2251	-1726	-282	1640	-981
24640	-120	45	-1802	71	1362	347
24736	-28	-551	534	-219	-43	639
24864	-204	-1951	-370	-563	98	367
24992	-56	-251	-942	-152	877	594
25088	-204	-1459	-1506	-867	392	-123
25216	-80	-1223	-226	-163	1516	-618
25344	-296	113	-322	644	323	1047
25440	-268	-1747	194	-387	115	-258
25568	-220	-1391	-542	-81	500	-325
25696	-232	-1059	-250	-275	586	-273
25792	-316	-1755	-118	-165	-61	-440
25920	-140	-1031	-58	320	-321	283
